"VESSEL_CODE"	"NAME"	"VESSEL_ID"
"#2B 1030"	"#2B 1030"	
"#32016"	"#32016"	
"#33642"	"#33642"	
"'TI GERRY"	"'TI GERRY"	
"( NO NAME )  ?"	"( NO NAME )  ?"	
"150018"	"HARVEY D"	"150018"
"150019"	"BRANDY DALE"	"150019"
"150020"	"6C4634"	"150020"
"150021"	"THE TJ"	"150021"
"150024"	"SEA SEA RIDER"	"150024"
"150027"	"QUEEN ANNE"	"150027"
"150028"	"SEA QUEST IV"	"150028"
"150029"	"ALANA FLORENCE"	"150029"
"150030"	"LINDA MAY # 1 1C1199"	"150030"
"150031"	"CRISSIE"	"150031"
"150032"	"SAMUEL JULIE"	"150032"
"150034"	"LOIS ANNE II"	"150034"
"150037"	"M/V BRENDA & BARBY"	"150037"
"150039"	"PATSY H 11"	"150039"
"150043"	"21C2461"	"150043"
"150046"	"LITTLE MOSES"	"150046"
"150049"	"SELDOM SEEN"	"150049"
"150050"	"EVENING SHADE"	"150050"
"150051"	"MORNING STAR NO. I"	"150051"
"150053"	"DYNASTY"	"150053"
"150054"	"SEAGULL NO.2 6C4637"	"150054"
"150055"	"PEDRO I"	"150055"
"150056"	"KEVIN & ELLEN"	"150056"
"150057"	"GENERAL WOLFE"	"150057"
"150058"	"MISTY ISLAND"	"150058"
"150059"	"UNDAUNTED 84"	"150059"
"150061"	"JAMIE'S PRIDE"	"150061"
"150062"	"MIV ALPHA & OMEGA"	"150062"
"150063"	"MATHIEU II"	"150063"
"150064"	"SEA PRINCESS NO 1"	"150064"
"150065"	"J.B.C."	"150065"
"150068"	"P.K. TUCKER II"	"150068"
"150069"	"BEVERLY B"	"150069"
"150071"	"JUST A BREEZE"	"150071"
"150072"	"CAPECOVE 2"	"150072"
"150073"	"KRISTIN. H"	"150073"
"150074"	"AUSTIN V"	"150074"
"150075"	"REMO"	"150075"
"150078"	"KAREN & KATELYN"	"150078"
"150079"	"MALIKA"	"150079"
"150080"	"SECOND CHANCE 83"	"150080"
"150081"	"SURF RIDER"	"150081"
"150082"	"K JILL"	"150082"
"150084"	"2B3696"	"150084"
"150086"	"MARC III"	"150086"
"150088"	"MY TWO BOYS"	"150088"
"150089"	"GUY & DALE 24A2916"	"150089"
"150091"	"SEAWOLF II"	"150091"
"150092"	"SONIA R"	"150092"
"150093"	"ANITA JANE"	"150093"
"150095"	"ANDY D"	"150095"
"150096"	"LITTLE TREVOR"	"150096"
"150097"	"SLIM PICKIN'S II"	"150097"
"150099"	"KATHY ANN 1V"	"150099"
"150100"	"LADY LORENA"	"150100"
"150101"	"MILDRED E"	"150101"
"150104"	"MARY AND I"	"150104"
"150105"	"TANYA & BROTHERS"	"150105"
"150106"	"21C2462"	"150106"
"150107"	"GISELLE M"	"150107"
"150109"	"OCEAN RANGER 84"	"150109"
"150110"	"CAPE KERMIT"	"150110"
"150112"	"1A1614"	"150112"
"150113"	"GINNY M"	"150113"
"150114"	"DEBBIE JOEY"	"150114"
"150115"	"JENDABRAD"	"150115"
"150116"	"SCOTT & RANDY"	"150116"
"150118"	"NANCY & HELEN"	"150118"
"150119"	"MISS POULETT COVE"	"150119"
"150120"	"BRENDA"	"150120"
"150121"	"HARRY ERIC"	"150121"
"150122"	"HUNKY DORY"	"150122"
"150123"	"AQUA MARINE"	"150123"
"150125"	"21C2468"	"150125"
"150127"	"RIDGE RUNNER"	"150127"
"150128"	"WIND TALKERS"	"150128"
"150129"	"BLACK FALCON"	"150129"
"150131"	"MISS SAINT NINNIAN"	"150131"
"150132"	"M T J"	"150132"
"150133"	"21C2463"	"150133"
"150134"	"DUNDAS PRIDE"	"150134"
"150135"	"ORCA V"	"150135"
"150136"	"LORI & MARC"	"150136"
"150138"	"MISSIE LEE ANN"	"150138"
"150140"	"REFLECTION"	"150140"
"150141"	"CHARLIES ARK"	"150141"
"150142"	"PHIL RAY"	"150142"
"150143"	"CINDY"	"150143"
"150146"	"MYRIAN III"	"150146"
"150147"	"ATLANTIC LADY"	"150147"
"150148"	"GYPSY ROVER NO I"	"150148"
"150149"	"SPUD ISLANDER"	"150149"
"150150"	"GULF GLIDER"	"150150"
"150151"	"JACLYN E"	"150151"
"150154"	"JOHN GLEN NO 1"	"150154"
"150155"	"LYNE B II"	"150155"
"150156"	"SHELDON B"	"150156"
"150157"	"1A1613"	"150157"
"150160"	"3B662"	"150160"
"150161"	"6C4654"	"150161"
"150163"	"MARIO MARC SYLVIE"	"150163"
"150165"	"B A M"	"150165"
"150166"	"MAURICE P"	"150166"
"150167"	"TRINA II"	"150167"
"150168"	"MARGERITE B"	"150168"
"150169"	"FERNAND M 6C4640"	"150169"
"150170"	"TERRY NO 2"	"150170"
"150172"	"C C II"	"150172"
"150173"	"SCOTT & ELLEN"	"150173"
"150174"	"VFD NO I 6C4651"	"150174"
"150176"	"ALLAN LAURIE"	"150176"
"150179"	"MISS NORTHUMBERLAND"	"150179"
"150180"	"ELIDE B V"	"150180"
"150181"	"RENALD DANA"	"150181"
"150182"	"MEO 1C1210"	"150182"
"150183"	"FREE BOOTER"	"150183"
"150184"	"KAITLYN & AVERY"	"150184"
"150185"	"21C2262"	"150185"
"150187"	"JANI"	"150187"
"150188"	"MIKE P"	"150188"
"150189"	"MCARA'S QUEEN"	"150189"
"150190"	"DANIELLE NICOLE"	"150190"
"150191"	"PEPPER B"	"150191"
"150192"	"SEVENTH J"	"150192"
"150194"	"STEVE & CYRIL"	"150194"
"150195"	"FOG BOUND"	"150195"
"150197"	"21C2476"	"150197"
"150198"	"MELISSA DAWN II"	"150198"
"150199"	"PIRATES LADY NO I"	"150199"
"150200"	"SHIALLA II"	"150200"
"150201"	"SMART MOVE"	"150201"
"150202"	"OCEAN BREEZE II"	"150202"
"150203"	"21C2473"	"150203"
"150207"	"B D S NO 1"	"150207"
"150209"	"21C-2474"	"150209"
"150210"	"CRISTINE J."	"150210"
"150212"	"MARJORIE ANNE"	"150212"
"150213"	"LENA G I"	"150213"
"150216"	"LADY LYNN V"	"150216"
"150217"	"IBE III"	"150217"
"150219"	"GREG M"	"150219"
"150220"	"L'HIRONDELLE P"	"150220"
"150223"	"GUY V 6C4663"	"150223"
"150224"	"DONALD R"	"150224"
"150225"	"K L M"	"150225"
"150227"	"7C1364"	"150227"
"150228"	"RIP TIDE"	"150228"
"150229"	"MICHELLE MELINDA NOI"	"150229"
"150232"	"HERMANNA B"	"150232"
"150233"	"LEN"	"150233"
"150234"	"7C1300"	"150234"
"150237"	"GENEVA L"	"150237"
"150239"	"AMBER J."	"150239"
"150241"	"6C4664"	"150241"
"150242"	"KOBA LILI"	"150242"
"150243"	"SURF KING"	"150243"
"150247"	"REAL C"	"150247"
"150248"	"7C1518"	"150248"
"150249"	"6C4669"	"150249"
"150253"	"JEFFREY III"	"150253"
"150254"	"JEAN DENIS"	"150254"
"150255"	"CHRISTINE M"	"150255"
"150256"	"MR. P"	"150256"
"150259"	"LISE P"	"150259"
"150260"	"WESTERLY GALES I"	"150260"
"150261"	"CJ SKAMP"	"150261"
"150263"	"MAMIE LYN"	"150263"
"150264"	"1A1620"	"150264"
"150265"	"MITCHELL SCOTT I"	"150265"
"150266"	"JOSHUA MAC"	"150266"
"150267"	"TI PIT II"	"150267"
"150268"	"MISS LINDA II"	"150268"
"150269"	"S S JEFFERY"	"150269"
"150270"	"CJ IV"	"150270"
"150271"	"RETA N"	"150271"
"150273"	"6C2872"	"150273"
"150278"	"F.M.B."	"150278"
"150279"	"JV RICKY"	"150279"
"150280"	"OCEAN ACCESS"	"150280"
"150283"	"3A534"	"150283"
