unique_id,item_name,description,owner,size,container_space,category,type
SprayBottle1,Spray Bottle,Spray Bottle,Marine Mammals,,,Necropsy,Durable
Stakes1,Stakes,Wooden perimeter stakes,Marine Mammals,,,Necropsy,Consumable
StationarySupplies1,Assorted Stationary supplies,"Assortment of pencils, small rulers, whiteboard markers, scissors, tweezers",Marine Mammals,,,Necropsy,Consumable
SteelWire1,Steel wire,16 gauge steel wire,Marine Mammals,,,Survey Gear,Consumable
SunscreenCream1,Suncreen Cream,Sunscreen cream,Marine Mammals,,,Necropsy,Consumable
SunscreenSpray1,Sunscreen spray,Sunscreen spray,Marine Mammals,,,Necropsy,Consumable
Switlik1,Life Vest,Switlik Life Vest with EBS,Marine Mammals,,,Survey Gear,Durable
Table1,Table,Fold out plastic table,Marine Mammals,,,Necropsy,Durable
TapeMeasure1,Tape Measure,Tape measure,Marine Mammals,,,Necropsy,Durable
Tarp1,Tarp,Blue tarp 5x7,Marine Mammals,small,,Necropsy,Consumable
Tarp2,Tarp,Assorted tarps,Marine Mammals,large,,Necropsy,Durable
Tarp3,Tarp,Silver tarp 12x16,Marine Mammals,medium,,Necropsy,Durable
TarpBin1,Blue rubbermaid,Blue rubbermaid with tarps,Marine Mammals,large,0,Necropsy,Durable
TemperatureLogger1,Temperature Logger,Star Oddi Temperature Logger,Marine Mammals,,,Survey Gear,Durable
TemperatureLoggerCase1,Temperature Logger Case,Temperature Logger Case,Marine Mammals,small,,Survey Gear,Durable
Tent1,Tent,10x10 ft gazebo tent,Marine Mammals,,,Necropsy,Durable
TinFoil1,Tin Foil,box of tin foil,Marine Mammals,,,Necropsy,Consumable
ToiletPaper1,Toilet paper,Toilet paper rolls,Marine Mammals,,,Necropsy,Consumable
ToolBox1,Tool Box,Portable Milwaukee Tool box,Marine Mammals,,,Necropsy,Durable
TowStrap1,Tow strap,Yellow tow straps,Marine Mammals,,,Necropsy,Durable
TowStrapBin1,Blue rubbermaid,Blue rubbermaid with tow straps,Marine Mammals,small,5,Necropsy,Durable
Tweezers1,Tweezers,Tweezers,Marine Mammals,large,,Necropsy,Durable
Tyvek1,Tyvek,Tyvek Coverall,Marine Mammals,small,,Necropsy,Consumable
Tyvek2,Tyvek,Tyvek Coverall,Marine Mammals,M,,Necropsy,Consumable
Tyvek3,Tyvek,Tyvek Coverall,Marine Mammals,L,,Necropsy,Consumable
Tyvek4,Tyvek,Tyvek Coverall,Marine Mammals,XL,,Necropsy,Consumable
Tyvek5,Tyvek,Tyvek Coverall,Marine Mammals,XXL,,Necropsy,Consumable
Tyvek6,Tyvek,Tyvek Coverall,Marine Mammals,4XL,,Necropsy,Consumable
Tyvek7,Tyvek,"Tyvek Coverall - singles, random suppliers",Marine Mammals,,,Necropsy,Consumable
TyvekSleeves1,Tyvek,Tyvek Sleeves,Marine Mammals,,,Necropsy,Consumable
Umbrella1,Umbrella,Umbrella,Marine Mammals,Large,,Necropsy,Durable
VapoRub1,VapoRub,Vicks Vaporub,Marine Mammals,,,Necropsy,Consumable
VoiceRecorder1,Voice Recorder,Sony Digital Voice Recorder,Marine Mammals,,,Survey Gear,Durable
Wagon1,Wagon,Canvas wagon,Marine Mammals,,,Necropsy,Durable
WD40Spray1,WD 40 Spray,WD 40 Spray,Marine Mammals,,,Survey Gear,Consumable
WhaleIDGuide1,Whale ID guide,Bilingual waterproof whale ID guides,Marine Mammals,,,Survey Gear,Consumable
Whiteboard1,Portable Whiteboard,Portable whiteboard,Marine Mammals,Small,,Necropsy,Durable
Whiteboard2,Portable Whiteboard,Portable whiteboard,Marine Mammals,Medium,,Necropsy,Durable
Wipes1,Wipes,Fast Orange wipes,Marine Mammals,small,,Necropsy,Consumable
Wipes2,Wipes,Big wipes industrial,Marine Mammals,large,,Necropsy,Consumable
Wipes3,Wipes,Gojo natural orange hand wipes,Marine Mammals,,,Necropsy,Consumable
Wipes4,Wipes,Lysol disinfectant wipes,Marine Mammals,,,Necropsy,Consumable
Wipes4,Wipes,Lysol disinfectant wipes,Marine Mammals,,,Necropsy,Consumable
WirelessMouse1,Wireless mouse,Wireless mouse,Marine Mammals,,,Survey Gear,Durable
WoodBlock1,Block of Wood,Block of Wood,Marine Mammals,small,,Necropsy,Consumable
Ziploc4,Ziploc bags,Ziploc freezer bags,Marine Mammals,Large,,Necropsy,Consumable
Ziplocs1,Ziploc bags,Ziploc bags,Marine Mammals,XL,,Necropsy,Consumable
Ziplocs2,Ziploc bags,Ziploc sandwhich bags,Marine Mammals,,,Necropsy,Consumable
Ziplocs3,Ziploc bags,Ziploc freezer bags,Marine Mammals,medium,,Necropsy,Consumable
MicroSD512GB,MicroSD Card,512GB Samsung Evo MicroSD card - for use with Sound Traps,Marine Mammals,,,Survey Gear,Durable
MicroSD256GB,MicroSD Card,256GB Samsung Evo MicroSD card - for use with Sound Traps,Marine Mammals,,,Survey Gear,Durable
ExtraRope1,Blue rubbermaid,Blue rubbermaid with rope,Marine Mammals,large,0,Survey Gear,Durable
BraidedRope1,Braided Rope,Misc Braided Rope,Marine Mammals,,,Survey Gear,Durable
DataSafe1,Data Safe,Sentry Safe Fire Safe for hard drive storage,Marine Mammals,large,100,Office Supplies,Durable
SoundTrap1,Sound Trap,SoundTrap ST500 STD - Long Term Recorder,Marine Mammals,,,Survey Gear,Durable
SoundTrapPRV1,Sound Trap PRV,Prevco Dual Seal Pressure Release Valve Titanium 10psi P/N 01104-001,Marine Mammals,,,Survey Gear,Durable
